skill,round,variant_id,score,picked,timestamp
hat,0,baseline,0.780,baseline,2026-06-03T05:33Z
hat,1,v1-m1-clarity,0.780,no,2026-06-03T05:45Z
hat,1,v2-m2-completeness,0.810,no,2026-06-03T05:45Z
hat,1,v3-m3-integration,0.860,no,2026-06-03T05:45Z
hat,1,v4-m4-enforcement,0.870,WINNER,2026-06-03T05:45Z
hat,2,v1-m2-completeness,0.878,no,2026-06-03T06:30Z
hat,2,v2-m3-integration,0.892,best-but-no-improvement,2026-06-03T06:30Z
hat,2,v3-m5-consolidation,0.873,no,2026-06-03T06:30Z
hat,2,no_improvement_counter,1,counter,2026-06-03T06:30Z
meta-skill,0,baseline,0.770,baseline,2026-06-03T05:33Z
meta-skill,1,v1-m1-clarity,0.780,no,2026-06-03T06:35Z
meta-skill,1,v2-m2-completeness,0.810,no,2026-06-03T06:35Z
meta-skill,1,v3-m3-integration,0.840,no,2026-06-03T06:35Z
meta-skill,1,v4-m4-enforcement,0.850,WINNER,2026-06-03T06:35Z
hat,3,v1-hybrid,0.909,best-but-no-improvement,2026-06-03T06:55Z
hat,3,no_improvement_counter,2,counter,2026-06-03T06:55Z
meta-skill,2,v1-hybrid,,WINNER,2026-06-03T07:00Z
meta-skill,2,v1-hybrid,0.881,WINNER,2026-06-03T07:00Z
experience-summary,0,baseline,0.770,baseline,2026-06-03T07:05Z
experience-summary,1,v1-m1-clarity,0.752,no,2026-06-03T07:05Z
experience-summary,1,v2-m2-completeness,0.783,no,2026-06-03T07:05Z
experience-summary,1,v3-m3-integration,0.718,no,2026-06-03T07:05Z
experience-summary,1,v4-m4-enforcement,0.803,WINNER,2026-06-03T07:05Z
